epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,392.917,1.79067,1.55191,1.1181,0.5414,0.52273,0.52782,0.30636,1.66206,1.46548,1.0991,0.0011719,0.0011719,0.0011719
32,403.967,2.23523,1.8652,1.24816,0.5414,0.52273,0.52782,0.30636,1.66206,1.46548,1.0991,0.0011554,0.0011554,0.0011554
33,414.442,1.90035,1.66195,1.15046,0.55907,0.5133,0.52668,0.30322,1.67945,1.45642,1.09938,0.00113889,0.00113889,0.00113889
34,425.167,2.20373,1.83638,1.17544,0.55907,0.5133,0.52668,0.30322,1.67945,1.45642,1.09938,0.00112239,0.00112239,0.00112239
35,435.539,1.82223,1.59058,1.16112,0.55907,0.5133,0.52668,0.30322,1.67945,1.45642,1.09938,0.00110589,0.00110589,0.00110589
36,445.866,1.87493,1.56399,1.18992,0.58548,0.48171,0.52899,0.29594,1.69409,1.48194,1.09779,0.00108938,0.00108938,0.00108938
37,456.943,2.07589,1.70091,1.18417,0.58548,0.48171,0.52899,0.29594,1.69409,1.48194,1.09779,0.00107288,0.00107288,0.00107288
38,467.637,2.13491,1.62675,1.20744,0.58548,0.48171,0.52899,0.29594,1.69409,1.48194,1.09779,0.00105638,0.00105638,0.00105638
39,478.223,1.8413,1.55843,1.13891,0.61613,0.5133,0.56574,0.31977,1.64749,1.37183,1.07488,0.00103987,0.00103987,0.00103987
40,488.263,1.8314,1.49089,1.13987,0.61613,0.5133,0.56574,0.31977,1.64749,1.37183,1.07488,0.00102337,0.00102337,0.00102337
41,499.838,2.1353,1.68462,1.20224,0.57508,0.53326,0.56142,0.32982,1.6073,1.36187,1.07331,0.00100687,0.00100687,0.00100687
