epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,302.778,1.64353,1.44471,1.13411,0.68308,0.60038,0.66793,0.39977,1.52471,1.24972,1.07918,0.000363239,0.000363239,0.000363239
81,306.498,1.72632,1.5161,1.16912,0.68308,0.60038,0.66793,0.39977,1.52471,1.24972,1.07918,0.000346736,0.000346736,0.000346736
82,310.097,1.72385,1.4208,1.11966,0.69601,0.62433,0.687,0.41721,1.50218,1.24825,1.07653,0.000330233,0.000330233,0.000330233
83,314.002,1.94165,1.45963,1.1712,0.69601,0.62433,0.687,0.41721,1.50218,1.24825,1.07653,0.000313729,0.000313729,0.000313729
84,317.818,1.78418,1.51592,1.19411,0.69601,0.62433,0.687,0.41721,1.50218,1.24825,1.07653,0.000297226,0.000297226,0.000297226
85,321.527,1.77036,1.39614,1.14163,0.69601,0.62433,0.687,0.41721,1.50218,1.24825,1.07653,0.000280723,0.000280723,0.000280723
86,325.13,1.6878,1.36454,1.13253,0.69601,0.62433,0.687,0.41721,1.50218,1.24825,1.07653,0.00026422,0.00026422,0.00026422
87,328.97,1.75436,1.47153,1.15434,0.69601,0.62433,0.687,0.41721,1.50218,1.24825,1.07653,0.000247716,0.000247716,0.000247716
88,332.806,1.80306,1.60395,1.25646,0.71328,0.62125,0.69871,0.42218,1.50397,1.25112,1.0775,0.000231213,0.000231213,0.000231213
89,336.792,1.90852,1.58375,1.18728,0.71328,0.62125,0.69871,0.42218,1.50397,1.25112,1.0775,0.00021471,0.00021471,0.00021471
90,340.383,1.64132,1.43046,1.13247,0.71328,0.62125,0.69871,0.42218,1.50397,1.25112,1.0775,0.000198206,0.000198206,0.000198206
91,343.935,1.58678,1.31616,1.09299,0.71328,0.62125,0.69871,0.42218,1.50397,1.25112,1.0775,0.000181703,0.000181703,0.000181703
92,347.496,1.60188,1.36661,1.13207,0.71328,0.62125,0.69871,0.42218,1.50397,1.25112,1.0775,0.0001652,0.0001652,0.0001652
93,350.929,1.64017,1.3417,1.14035,0.70829,0.62967,0.70194,0.42179,1.50412,1.26861,1.07934,0.000148696,0.000148696,0.000148696
94,354.438,1.67951,1.30256,1.1066,0.70829,0.62967,0.70194,0.42179,1.50412,1.26861,1.07934,0.000132193,0.000132193,0.000132193
95,357.853,1.80031,1.37441,1.10986,0.70829,0.62967,0.70194,0.42179,1.50412,1.26861,1.07934,0.00011569,0.00011569,0.00011569
96,361.276,1.67841,1.32679,1.11838,0.70829,0.62967,0.70194,0.42179,1.50412,1.26861,1.07934,9.91865e-05,9.91865e-05,9.91865e-05
97,364.66,1.66575,1.29533,1.07607,0.70829,0.62967,0.70194,0.42179,1.50412,1.26861,1.07934,8.26832e-05,8.26832e-05,8.26832e-05
98,368.249,1.71478,1.43832,1.17128,0.69697,0.63331,0.6987,0.42108,1.50334,1.23042,1.07222,6.61799e-05,6.61799e-05,6.61799e-05
99,371.736,1.69004,1.31866,1.10064,0.69697,0.63331,0.6987,0.42108,1.50334,1.23042,1.07222,4.96766e-05,4.96766e-05,4.96766e-05
100,375.054,1.57284,1.35641,1.13128,0.69697,0.63331,0.6987,0.42108,1.50334,1.23042,1.07222,3.31733e-05,3.31733e-05,3.31733e-05
